round,gulfport,baton_rouge,new_orleans,south_louisiana,alpha,temp,floor,uniform_mix
0,0.07067840773409513,0.3020653404531801,0.3605514932467977,0.2667047585659271,1.2,1.5,0.03,0.15
1,0.07336813616224337,0.2997689048262339,0.3616975875467674,0.2651653714647553,1.2,1.5,0.03,0.15
2,0.06952384487678949,0.3022049701859602,0.3624727470352969,0.26579843790195345,1.2,1.5,0.03,0.15
3,0.07229228444896238,0.30259241742464743,0.3598499929410836,0.26526530518530655,1.2,1.5,0.03,0.15
4,0.06995173774094408,0.30287260667713245,0.3636313256420359,0.26354432993988774,1.2,1.5,0.03,0.15
5,0.06720801359783105,0.30587942345055946,0.36394528297199447,0.2629672799796151,1.2,1.5,0.03,0.15
6,0.06845489808333091,0.308337708764247,0.3620755855642912,0.2611318075881309,1.2,1.5,0.03,0.15
7,0.06431866642635625,0.3056973581272965,0.3660362507150356,0.26394772473131173,1.2,1.5,0.03,0.15
8,0.06315916935185997,0.30203129869851003,0.3670889732084477,0.2677205587411823,1.2,1.5,0.03,0.15
9,0.0630236136378478,0.30507832587389094,0.3655876539969284,0.2663104064913328,1.2,1.5,0.03,0.15
10,0.06327354012619983,0.3032086391065901,0.36580911027316,0.2677087104940501,1.2,1.5,0.03,0.15
11,0.06305011395030326,0.3022912618197009,0.3668552809575999,0.26780334327239597,1.2,1.5,0.03,0.15
12,0.0628040547583193,0.3027827366893501,0.36265947504763196,0.27175373350469867,1.2,1.5,0.03,0.15
13,0.06285572410216682,0.3043433322091235,0.3599980964472563,0.27280284724145343,1.2,1.5,0.03,0.15
14,0.0661589040510898,0.30342346593008745,0.35929423580321673,0.27112339421560605,1.2,1.5,0.03,0.15
15,0.06865487175930107,0.305757045956575,0.35759729648217264,0.26799078580195135,1.2,1.5,0.03,0.15
16,0.07083383590268327,0.3050167868663273,0.3563019631066772,0.26784741412431223,1.2,1.5,0.03,0.15
17,0.06498964963482447,0.3067067569626628,0.3603163160473578,0.26798727735515493,1.2,1.5,0.03,0.15
18,0.06330916192752978,0.30338753760533926,0.3659870802899974,0.26731622017713363,1.2,1.5,0.03,0.15
19,0.06697064264651008,0.30120405882415086,0.36329656693507295,0.26852873159426616,1.2,1.5,0.03,0.15
20,0.06841075431908436,0.2986008483919601,0.36246870786247964,0.27051968942647586,1.2,1.5,0.03,0.15
21,0.06545501041757792,0.29907042994968314,0.36264216179786174,0.27283239783487717,1.2,1.5,0.03,0.15
22,0.07092113032772691,0.29770865698697196,0.3610607078094128,0.2703095048758884,1.2,1.5,0.03,0.15
23,0.07679045347280788,0.29614957500397376,0.3576240387985815,0.26943593272463695,1.2,1.5,0.03,0.15
24,0.07520334548437828,0.29550097377458084,0.35872176917174653,0.27057391156929433,1.2,1.5,0.03,0.15
